County,Year,Grades Pre-K,Grades K-5,Grades 6-8,Grades 9-12,Unemploy_Value,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,VIOLENT CRIME TOTAL,PROPERTY CRIME TOTALS
Allegany County,2010,506,3854,1952,2710,39459.0,72721.0,4.0,26.0,48.0,234.0,596.0,1921.0,49.0,2878.0,312.0,2566.0
Allegany County,2011,499,3809,1945,2660,37349.0,75799.0,6.0,30.0,62.0,153.0,608.0,1866.0,43.0,2768.0,251.0,2517.0
Allegany County,2012,520,3822,1923,2664,35698.0,75413.0,3.0,22.0,42.0,201.0,571.0,1904.0,67.0,2810.0,268.0,2542.0
Allegany County,2013,523,3828,1951,2570,33953.0,73834.0,4.0,28.0,63.0,154.0,547.0,1787.0,54.0,2637.0,249.0,2388.0
Allegany County,2014,508,3879,1888,2590,29871.0,73299.0,2.0,15.0,31.0,153.0,550.0,1787.0,42.0,2580.0,201.0,2379.0
Allegany County,2015,495,3859,1899,2559,26513.0,72230.0,3.0,24.0,58.0,133.0,486.0,1737.0,49.0,2490.0,218.0,2272.0
Allegany County,2016,490,3853,1855,2504,23388.0,71622.0,5.0,16.0,65.0,159.0,388.0,1642.0,44.0,2319.0,245.0,2074.0
Allegany County,2017,438,3825,1835,2531,21688.0,71616.0,4.0,14.0,58.0,168.0,469.0,1724.0,46.0,2483.0,244.0,2239.0
Allegany County,2018,469,3770,1853,2447,20879.0,70577.0,2.0,20.0,42.0,189.0,404.0,1182.0,57.0,1896.0,253.0,1643.0
Allegany County,2019,455,3708,1894,2380,19400.0,70140.0,0.0,24.0,44.0,160.0,349.0,1111.0,61.0,1749.0,228.0,1521.0
Allegany County,2020,332,3468,1853,2422,27997.0,69699.0,1.0,19.0,42.0,169.0,313.0,926.0,59.0,1529.0,231.0,1298.0
Anne Arundel County,2010,1670,34305,16782,22724,243105.0,527278.0,18.0,113.0,661.0,2137.0,2860.0,11732.0,1236.0,18757.0,2929.0,15828.0
Anne Arundel County,2011,1892,34867,16848,22696,221569.0,542753.0,15.0,91.0,597.0,1972.0,2259.0,11394.0,832.0,17160.0,2675.0,14485.0
Anne Arundel County,2012,2182,36027,16911,22650,208924.0,549659.0,13.0,100.0,538.0,1630.0,2585.0,11299.0,888.0,17053.0,2281.0,14772.0
Anne Arundel County,2013,2157,36736,17073,22523,200990.0,555330.0,15.0,71.0,630.0,1603.0,2522.0,11272.0,677.0,16790.0,2319.0,14471.0
Anne Arundel County,2014,2080,37346,17380,22712,178067.0,561031.0,14.0,92.0,634.0,1523.0,2152.0,10620.0,702.0,15737.0,2263.0,13474.0
Anne Arundel County,2015,2170,37777,17769,22671,155714.0,563766.0,17.0,140.0,613.0,1425.0,2084.0,10201.0,629.0,15109.0,2195.0,12914.0
Anne Arundel County,2016,2271,38378,17890,22858,133785.0,566105.0,25.0,154.0,558.0,1575.0,1979.0,10025.0,622.0,14938.0,2312.0,12626.0
Anne Arundel County,2017,2320,39003,18233,23221,128588.0,572990.0,21.0,172.0,629.0,1433.0,1729.0,9388.0,667.0,14039.0,2255.0,11784.0
Anne Arundel County,2018,2324,38848,18746,23389,123379.0,573631.0,25.0,168.0,473.0,1382.0,1359.0,8445.0,688.0,12540.0,2048.0,10492.0
Anne Arundel County,2019,2380,39290,19427,23887,112973.0,577904.0,20.0,159.0,438.0,1220.0,1143.0,8742.0,659.0,12381.0,1837.0,10544.0
Anne Arundel County,2020,1929,37231,19581,24303,211097.0,581937.0,26.0,148.0,357.0,1286.0,1053.0,6937.0,626.0,10433.0,1817.0,8616.0
Baltimore City,2010,4874,37956,16659,24311,436870.0,639927.0,223.0,266.0,3361.0,5502.0,7646.0,16626.0,4421.0,38045.0,9352.0,28693.0
Baltimore City,2011,4852,38668,16986,23706,405268.0,626848.0,197.0,341.0,3485.0,4905.0,8649.0,17397.0,4207.0,39181.0,8928.0,30253.0
Baltimore City,2012,4890,39490,16995,23372,383052.0,625474.0,216.0,317.0,3635.0,4657.0,7796.0,17849.0,3987.0,38457.0,8825.0,29632.0
Baltimore City,2013,4763,40023,17062,22882,361720.0,622671.0,233.0,298.0,3755.0,4471.0,7440.0,19329.0,4462.0,39988.0,8757.0,31231.0
Baltimore City,2014,4811,40774,17050,22341,317811.0,623513.0,211.0,245.0,3740.0,4236.0,6966.0,18419.0,4504.0,38321.0,8432.0,29889.0
